YEAR;MONTH;SALES;MEDIA MOBILE;Baseline = Media aggiustata;sr(sales/baseline);media rumori stagionali;Dati senza stagionalità;T_j;T_s;Forecast
1992;1;796;;;;0,652371926;1220,162868;1211,87922;790,5959808;
1992;2;1021;;;;0,946898957;1078,256548;1369,81501;1297,076404;
1992;3;912;;;;0,770408068;1183,788226;1527,7508;1176,991542;
1992;4;969;;;;0,799379678;1212,189935;1685,68659;1347,503604;
1992;5;1171;;;;1,018577434;1149,642591;1843,62238;1877,872152;
1992;6;1094;;;;0,848686466;1289,050838;2001,55817;1698,695329;
1992;7;1037;1253,75;1253,708333;0,827146133;0,804925711;1288,31765;2159,49396;1738,232211;
1992;8;1089;1253,666667;1252,458333;0,869490003;0,84955587;1281,846243;2317,42975;1968,786046;
1992;9;1034;1251,25;1250,541667;0,826841702;0,789269263;1310,072556;2475,36554;1953,729934;
1992;10;1122;1249,833333;1251;0,896882494;0,832365222;1347,965977;2633,30133;2191,868447;
1992;11;1364;1252,166667;1254,833333;1,086996945;1,057632279;1289,673195;2791,23712;2952,102476;
1992;12;3436;1257,5;1264,375;2,717548196;2,617134548;1312,886264;2949,17291;7718,382311;
1993;1;795;1271,25;1280,833333;0,620689655;0,656162959;1211,58927;1211,87922;795,1902547;
1993;2;992;1290,416667;1297,541667;0,764522655;0,949883348;1044,338762;1369,81501;1301,164468;
1993;3;895;1304,666667;1310,75;0,682815182;0,773139473;1157,61778;1527,7508;1181,164448;
1993;4;997;1316,833333;1320,208333;0,755183841;0,803162945;1241,342129;1685,68659;1353,881005;
1993;5;1235;1323,583333;1331,291667;0,927670495;1,022324704;1208,031064;1843,62238;1884,780703;
1993;6;1259;1339;1354,041667;0,929808905;0,84861976;1483,585534;2001,55817;1698,561814;
1993;7;1267;1369,083333;1373,333333;0,922572816;0,803867596;1576,130207;2159,49396;1735,947217;
1993;8;1260;1377,583333;1385,458333;0,909446332;0,848606625;1484,7869;2317,42975;1966,586239;
1993;9;1180;1393,333333;1399,791667;0,842982587;0,787480099;1498,450566;2475,36554;1949,3011;
1993;10;1203;1406,25;1413,083333;0,851329834;0,829292971;1450,6333;2633,30133;2183,778284;
1993;11;1549;1419,916667;1424,958333;1,087049329;1,056233962;1466,531144;2791,23712;2948,199441;
1993;12;3797;1430;1429,458333;2,656250911;2,612352946;1453,478943;2949,17291;7704,280539;
1994;1;897;1428,916667;1426,708333;0,628719956;0,657852164;1363,528235;1211,87922;797,237367;
1994;2;1181;1424,5;1426,541667;0,827876274;0,958710048;1231,863589;1369,81501;1313,255413;
1994;3;1050;1428,583333;1430,916667;0,733795353;0,777440629;1350,585447;1527,7508;1187,735543;
1994;4;1161;1433,25;1437,791667;0,807488336;0,805447664;1441,434437;1685,68659;1357,732326;
1994;5;1356;1442,333333;1449,375;0,935575679;1,026832047;1320,566498;1843,62238;1893,090542;
1994;6;1246;1456,416667;1472,041667;0,846443432;0,84475361;1474,986298;2001,55817;1690,82349;
1994;7;1214;1487,666667;1488,125;0,815791684;0,797932335;1521,432266;2159,49396;1723,130057;
1994;8;1309;1488,583333;1489,916667;0,878572627;0,84556464;1548,07798;2317,42975;1959,536652;
1994;9;1236;1491,25;1494,5;0,827032452;0,784704975;1575,114266;2475,36554;1942,431653;
1994;10;1312;1497,75;1499,166667;0,875152863;0,828191128;1584,175386;2633,30133;2180,876799;
1994;11;1718;1500,583333;1510,333333;1,137497241;1,054693193;1628,909726;2791,23712;2943,898791;
1994;12;4172;1520,083333;1525,541667;2,73476634;2,610158048;1598,370644;2949,17291;7697,807404;
1995;1;908;1531;1532,5;0,592495922;0,659308774;1377,199934;1211,87922;799,0026029;
1995;2;1213;1534;1537,041667;0,789178346;0,965251736;1256,666996;1369,81501;1322,216317;
1995;3;1128;1540,083333;1543,375;0,730865797;0,779622893;1446,853357;1527,7508;1191,069499;
1995;4;1195;1546,666667;1548,666667;0,771631511;0,80534563;1483,834958;1685,68659;1357,560329;
1995;5;1590;1550,666667;1556,333333;1,021632041;1,031394865;1541,601625;1843,62238;1901,502656;
1995;6;1377;1562;1572,958333;0,875420519;0,844669119;1630,224154;2001,55817;1690,654376;
1995;7;1250;1583,916667;1589,25;0,786534529;0,796992369;1568,396447;2159,49396;1721,100207;
1995;8;1382;1594,583333;1603,541667;0,861842276;0,843827377;1637,775731;2317,42975;1955,510668;
1995;9;1315;1612,5;1619,916667;0,811770153;0,782477213;1680,560122;2475,36554;1936,917128;
1995;10;1360;1627,333333;1633,666667;0,832483167;0,825719458;1647,048506;2633,30133;2174,368147;
1995;11;1854;1640;1646,875;1,125768501;1,050335085;1765,150975;2791,23712;2931,734278;
1995;12;4435;1653,75;1654,583333;2,68043314;2,603599717;1703,410848;2949,17291;7678,465752;
1996;1;1036;1655,416667;1660,25;0,624002409;0,66282524;1563,006261;1211,87922;803,2641349;
1996;2;1428;1665,083333;1668,583333;0,855815812;0,974518757;1465,338651;1369,81501;1334,91042;
1996;3;1306;1672,083333;1672,416667;0,780905875;0,782189056;1669,673067;1527,7508;1194,989956;
1996;4;1347;1672,75;1676,541667;0,80343962;0,807120058;1668,896699;1685,68659;1360,551458;
1996;5;1755;1680,333333;1679,333333;1,045057563;1,031908698;1700,73186;1843,62238;1902,44997;
1996;6;1397;1678,333333;1679,541667;0,831774542;0,843050624;1657,077238;2001,55817;1687,414865;
1996;7;1366;1680,75;1680,666667;0,812772709;0,79757336;1712,695118;2159,49396;1722,354853;
1996;8;1466;1680,583333;1679,416667;0,872922146;0,84282655;1739,385168;2317,42975;1953,19132;
1996;9;1323;1678,25;1672,791667;0,790893467;0,780849827;1694,307861;2475,36554;1932,888753;
1996;10;1451;1667,333333;1663,625;0,87219175;0,825343696;1758,05547;2633,30133;2173,378653;
1996;11;1830;1659,916667;1652,833333;1,107189674;1,04614434;1749,280601;2791,23712;2920,036915;
1996;12;4464;1645,75;1642,958333;2,717050037;2,599331193;1717,364841;2949,17291;7665,877138;
1997;1;1034;1640,166667;1637,958333;0,631273689;0,664982064;1554,929157;1211,87922;805,877945;
1997;2;1400;1635,75;1630,833333;0,858456822;0,981113365;1426,95029;1369,81501;1343,943814;
1997;3;1175;1625,916667;1626,375;0,722465606;0,782260344;1502,057479;1527,7508;1195,098866;
1997;4;1258;1626,833333;1624,5;0,774392121;0,807324526;1558,233348;1685,68659;1360,896128;
1997;5;1585;1622,166667;1620,875;0,977866893;1,031178206;1537,076706;1843,62238;1901,103218;
1997;6;1330;1619,583333;1627,666667;0,817120623;0,843677073;1576,43255;2001,55817;1688,668739;
1997;7;1313;1635,75;1638,916667;0,801138964;0,796679281;1648,09106;2159,49396;1720,424094;
1997;8;1348;1642,083333;1646,333333;0,818789229;0,84105622;1602,746603;2317,42975;1949,088706;
1997;9;1334;1650,583333;1652,791667;0,807119268;0,780259025;1709,688652;2475,36554;1931,426302;
1997;10;1395;1655;1658,916667;0,840910233;0,822587929;1695,867337;2633,30133;2166,121886;
1997;11;1799;1662,833333;1669,375;1,077648821;1,042553438;1725,57102;2791,23712;2910,013856;
1997;12;4658;1675,916667;1683,625;2,766649343;2,592406555;1796,786075;2949,17291;7645,455183;
1998;1;1110;1691,333333;1695,166667;0,654802871;0,66696491;1664,255471;1211,87922;808,2809143;
1998;2;1502;1699;1703,458333;0,881735685;0,988328456;1519,737686;1369,81501;1353,827153;
1998;3;1228;1707,916667;1709,083333;0,718513823;0,785777681;1562,782997;1527,7508;1200,472481;
1998;4;1352;1710,25;1714,416667;0,788606426;0,809261727;1670,658522;1685,68659;1364,161641;
1998;5;1742;1718,583333;1723,166667;1,01092949;1,034314165;1684,207815;1843,62238;1906,884743;
1998;6;1515;1727,75;1750,166667;0,865631845;0,845239218;1792,391986;2001,55817;1691,795462;
1998;7;1405;1772,583333;1774,458333;0,791790922;0,79640055;1764,18763;2159,49396;1719,822178;
1998;8;1455;1776,333333;1782,5;0,816269285;0,842447907;1727,109756;2317,42975;1952,313843;
1998;9;1362;1788,666667;1795,5;0,758563074;0,778580259;1749,337956;2475,36554;1927,270744;
1998;10;1495;1802,333333;1806,708333;0,827471691;0,821442785;1819,968509;2633,30133;2163,106377;
1998;11;1909;1811,083333;1816,125;1,051139101;1,040359977;1834,941792;2791,23712;2903,891385;
1998;12;5196;1821,166667;1825,666667;2,846083622;2,581516381;2012,770493;2949,17291;7613,338177;
1999;1;1155;1830,166667;1837,666667;0,62851442;0,667725037;1729,75392;1211,87922;809,2020969;
1999;2;1650;1845,166667;1851,458333;0,891189378;0,994990504;1658,307284;1369,81501;1362,952927;
1999;3;1392;1857,75;1864,333333;0,746647595;0,789981673;1762,066195;1527,7508;1206,895132;
1999;4;1457;1870,916667;1877;0,776238679;0,810552683;1797,538927;1685,68659;1366,337788;
1999;5;1863;1883,083333;1893,75;0,983762376;1,035775708;1798,651954;1843,62238;1909,579275;
1999;6;1623;1904,416667;1939,333333;0,836885528;0,843964678;1923,066263;2001,55817;1689,244397;
1999;7;1585;1974,25;1977,958333;0,801331339;0,796707859;1989,436883;2159,49396;1720,485809;
1999;8;1606;1981,666667;1995,375;0,804861242;0,844193149;1902,408237;2317,42975;1956,358318;
1999;9;1520;2009,083333;2013,583333;0,754873153;0,779914738;1948,930986;2475,36554;1930,574068;
1999;10;1641;2018,083333;2022,375;0,811422214;0,821040857;1998,682508;2633,30133;2162,047981;
1999;11;2165;2026,666667;2037,625;1,062511502;1,039641368;2082,448877;2791,23712;2901,885579;
1999;12;6034;2048,583333;2054,75;2,936610293;2,563878565;2353,465598;2949,17291;7561,321207;
2000;1;1244;2060,916667;2062,875;0,603041871;0,670339078;1855,777234;1211,87922;812,369999;
2000;2;1979;2064,833333;2071,125;0,955519343;1,001910579;1975,226175;1369,81501;1372,432149;
2000;3;1500;2077,416667;2084,666667;0,719539495;0,792870611;1891,859755;1527,7508;1211,30871;
2000;4;1560;2091,916667;2093,125;0,745297104;0,812840283;1919,196221;1685,68659;1370,193965;
2000;5;2126;2094,333333;2094,083333;1,015241355;1,039243263;2045,7193;1843,62238;1915,972138;
2000;6;1771;2093,833333;2081,125;0,850982041;0,844436622;2097,25627;2001,55817;1690,189019;
2000;7;1632;2068,416667;2071,666667;0,787771521;0,79637761;2049,279109;2159,49396;1719,772639;
2000;8;1757;2074,916667;2074,125;0,847104201;0,847002571;2074,373869;2317,42975;1962,868956;
2000;9;1694;2073,333333;2076,208333;0,815910414;0,781703423;2167,062277;2475,36554;1935,001716;
2000;10;1670;2079,083333;2078;0,803657363;0,821727903;2032,302899;2633,30133;2163,85718;
2000;11;2159;2076,916667;2070,708333;1,042638389;1,038007787;2079,94586;2791,23712;2897,325867;
2000;12;5729;2064,5;2058,083333;2,783657934;2,53725487;2257,952115;2949,17291;7482,803327;
2001;1;1322;2051,666667;2046,958333;0,645836302;0,675146021;1958,094928;1211,87922;818,1954338;
2001;2;1960;2042,25;2038,5;0,961491293;1,005224239;1949,813708;1369,81501;1376,97125;
2001;3;1569;2034,75;2021,791667;0,77604435;0,798108548;1965,898002;1527,7508;1219,310972;
2001;4;1534;2008,833333;2004,875;0,765134983;0,817664796;1876,07441;1685,68659;1378,326582;
2001;5;1977;2000,916667;2000;0,9885;1,040957685;1899,212647;1843,62238;1919,132884;
2001;6;1617;1999,083333;1981,25;0,81615142;0,843969092;1915,946941;2001,55817;1689,253231;
2001;7;1519;1963,416667;1962,25;0,774111352;0,797039617;1905,80238;2159,49396;1721,202239;
2001;8;1667;1961,083333;1962,291667;0,849516934;0,846994753;1968,134978;2317,42975;1962,850839;
2001;9;1383;1963,5;1964,791667;0,703891422;0,779072116;1775,188678;2475,36554;1928,488269;
2001;10;1575;1966,083333;1969,416667;0,799729192;0,823117945;1913,456036;2633,30133;2167,517579;
2001;11;2137;1972,75;1978,083333;1,080338712;1,037651587;2059,458132;2791,23712;2896,331628;
2001;12;5301;1983,416667;1985;2,670528967;2,518300788;2104,990804;2949,17291;7426,904463;
2002;1;1294;1986,583333;1987,541667;0,651055533;0,677400615;1910,24332;1211,87922;820,9277292;
2002;2;1989;1988,5;1991,25;0,998870056;1,008588311;1972,063306;1369,81501;1381,579408;
2002;3;1600;1994;1998,541667;0,800583759;0,799805794;2000,485633;1527,7508;1221,903941;
2002;4;1614;2003,083333;2006,25;0,804485981;0,821705551;1964,207249;1685,68659;1385,138028;
2002;5;2105;2009,416667;2011,75;1,046352678;1,044992892;2014,36777;1843,62238;1926,572282;
2002;6;1655;2014,083333;2033,625;0,81381769;0,846108913;1956,012961;2001,55817;1693,536207;
2002;7;1542;2053,166667;2055,75;0,750091208;0,798950306;1930,032429;2159,49396;1725,32836;
2002;8;1733;2058,333333;2059,291667;0,841551504;0,846784572;2046,565394;2317,42975;1962,363758;
2002;9;1492;2060,25;2055;0,726034063;0,785337174;1899,82093;2475,36554;1943,996578;
2002;10;1651;2049,75;2049,666667;0,805496829;0,825067008;2001,049593;2633,30133;2172,650048;
2002;11;2193;2049,583333;2047,958333;1,070822567;1,034094327;2120,696287;2791,23712;2886,402471;
2002;12;5770;2046,333333;2048,5;2,816695143;2,505615107;2302,827751;2949,17291;7389,492194;
2003;1;1356;2050,666667;2056,166667;0,659479614;0,679596039;1995,302978;1211,87922;823,5883173;
2003;2;2012;2061,666667;2062,708333;0,975416625;1,009398166;1993,266947;1369,81501;1382,688759;
2003;3;1474;2063,75;2069,333333;0,712306701;0,799740963;1843,096787;1527,7508;1221,804897;
2003;4;1612;2074,916667;2079,291667;0,775264012;0,823140515;1958,353368;1685,68659;1387,556928;
2003;5;2066;2083,666667;2087,625;0,989641339;1,044879576;1977,261349;1843,62238;1926,36337;
2003;6;1707;2091,583333;2108;0,809772296;0,848799848;2011,074818;2001,55817;1698,92227;
2003;7;1674;2124,416667;2128,875;0,786330809;0,803392042;2083,665149;2159,49396;1734,920263;
